track_ids,danergy,acousticness,instrumentalness,valence,loudness,tempo,duration_secs
27jdUE1EYDSXZqhjuNxLem,0.61,0.0266,0.621,0.352,-8.917,93.457,285.014
75JFxkI2RXiU7L9VXzMkle,0.49950000000000006,0.731,1.46e-05,0.213,-7.224,146.277,309.6
1mea3bSkSGXuIRvnydlB5b,0.5515,0.0954,3.23e-06,0.417,-7.115,138.015,242.373
2U8g9wVcUu9wsg6i7sFSv8,0.5785,0.00194,0.0103,0.333,-6.883,117.98,240.796
2nvC4i2aMo4CzRjRflysah,0.506,0.0553,4.95e-06,0.193,-5.455,144.636,226.68
75hLNJfiXV5k2YGrbGEW51,0.641,0.0198,1.23e-06,0.335,-7.929,140.047,185.08
1z6WtY7X4HQJvzxC4UgkSf,0.7,0.0849,0.0,0.652,-5.242,94.1,267.413
2fzpVfNwnFMJxhApDDrl5g,0.6955,0.00504,0.000202,0.216,-4.729,126.042,239.894
1fzJyTCKeZuTSLByCsLRHl,0.737,0.000176,0.00374,0.766,-4.852,117.956,192.79
2y4lAQpi5VTNLu2ldeTdUH,0.6174999999999999,0.00882,0.0,0.484,-5.794,80.003,231.24
717TY4sfgKQm4kFbYQIzgo,0.8105,0.0279,0.0183,0.923,-3.925,143.011,198.813
30jNXLY2bFbxSqOIIkNRim,0.63,0.00144,0.0,0.73,-6.572,95.49,196.293
6ZapsNk1ZpaebNXAIohP9R,0.5655,0.292,0.000522,0.137,-6.623,111.665,303.2
6golelYKuy85o3u0cxIxFK,0.591,0.0127,5.01e-06,0.525,-5.569,113.678,245.293
4Sfa7hdVkqlM8UW5LsSY3F,0.6605,0.0338,0.0,0.445,-5.526,101.006,264.493
1aGvLFHJ2shKqO9uycaUcW,0.7415,0.00559,0.000727,0.68,-5.079,119.939,164.187
74EV0g12ihUoOUXMprFpZB,0.7565,0.0767,0.0,0.82,-5.992,125.437,267.733
77NNZQSqzLNqh2A9JhLRkg,0.6465000000000001,0.25,0.0,0.472,-7.106,119.25,248.907
2DyHhPyCZgZzNXn1IrtsTu,0.7265,0.000312,0.00457,0.586,-7.137,138.162,201.867
18gaZFSOGTMf9VMeOH4Exo,0.7275,0.0225,0.000441,0.449,-6.727,136.282,245.707
2ipxxnFmqMLWLcjpiIaKMc,0.6845,0.00178,0.00156,0.695,-3.414,106.033,229.04
0rF2hdWiVpnFsZMUfxDK0T,0.6930000000000001,0.00176,0.0125,0.721,-6.514,99.76,242.773
20B9NtA8clQJuTebpZWZvC,0.6495,0.000759,0.0,0.688,-4.337,174.567,259.96
23NPGXlSaIqWzvxIRhM2oG,0.522,0.0168,0.000534,0.513,-8.046,84.275,265.507
2QOMGq8wVTZbLmh7McrvgF,0.577,0.0779,0.00274,0.547,-4.803,178.085,215.907
0mWiuXuLAJ3Brin3Or2x6v,0.685,1.92e-05,1.21e-05,0.527,-2.59,135.944,234.8
7u5dBtASrtOuBTTZjJrvuJ,0.6445000000000001,6.01e-05,0.000251,0.301,-4.224,153.981,258.973
4IiRAL0swv6SGt92wsFXlG,0.6615,0.424,0.0105,0.85,-11.501,107.87,164.56
7hQJA50XrCWABAu5v6QZ4i,0.714,0.0472,0.000191,0.601,-5.277,156.271,209.413
2aSFLiDPreOVP6KHiWk4lF,0.6875,0.524,0.0,0.527,-7.268,113.439,236.52
0cpdpeOeytQn4d2B8tgwkU,0.589,0.0632,3.91e-06,0.383,-7.404,112.919,296.693
6U4svg4qF0TCuYX20qw2JF,0.633,0.00235,0.0712,0.377,-5.905,99.332,274.413
61a9BTpO2vHRVSwVv8Vhq2,0.7625,0.12,0.0,0.566,-4.815,93.364,264.0
3trZucl5LmX5nSD91sffoy,0.632,2.76e-05,0.0349,0.488,-4.758,105.776,308.64
2gsGhxiwG4G7pJG4UhNRR5,0.6990000000000001,0.00559,2.81e-05,0.677,-4.539,118.036,214.093
19okQyq8Ys8ar6anNTNCQJ,0.596,0.0482,0.0,0.471,-3.665,162.479,316.067
1THbqI41NsSe5ntfoyMCvH,0.5255000000000001,0.0177,0.0,0.387,-5.186,171.225,307.573
4w2EzYwas6H1tag5Job5pN,0.7965,0.329,0.000487,0.86,-6.353,100.69,265.307
7HKez549fwJQDzx3zLjHKC,0.7815000000000001,0.0436,0.137,0.971,-4.142,122.429,213.067
4AYdUGxTSIpROPuglN0XUE,0.739,0.242,0.365,0.768,-6.217,111.24,222.493
32kgOw8wejH7zUhtXCM8DH,0.5295000000000001,0.000894,0.00217,0.288,-8.039,108.736,285.133
54b8qPFqYqIndfdxiLApea,0.435,0.638,0.00026,0.168,-13.099,175.088,218.733
1CBzT6CGrslsxQOgkNZVjX,0.745,0.0286,0.00579,0.656,-4.214,98.438,166.4
2fcCiV0QwRtgTNv7W1HScf,0.6739999999999999,0.0209,0.657,0.395,-6.637,80.008,255.2
6z1t237CaXitMg1i7oGooE,0.7735,0.442,4.9e-05,0.96,-4.428,93.626,177.133
50uGbeaQIxKiSc7jvRTjWx,0.399,0.726,1.59e-06,0.598,-13.522,205.917,166.827
5BxUIRd7eVYJ5YColCSdpB,0.6745,0.0174,0.000388,0.881,-9.95,100.623,244.92
2jg4Yc8071puvDRYi22B3a,0.7150000000000001,0.00495,0.0,0.819,-6.137,108.84,158.04
3WGaUa5pfM8vPMYhYplWL4,0.5775,0.2,0.0246,0.835,-7.682,177.326,393.307
6VAKyYoJQu1hwjWNvxQVTt,0.6495,0.198,0.0,0.662,-8.624,113.524,260.613
6aTVmTpgPmsg7aqs402iHj,0.6105,0.0301,0.0,0.884,-6.295,103.362,156.387
5jWZR3cKUChstrHpNnTPCS,0.5225,0.802,2.55e-06,0.661,-11.266,131.892,177.307
3LmpQiFNgFCnvAnhhvKUyI,0.787,0.0696,0.000139,0.91,-6.124,103.683,285.2
5VAKsbOWGdBbg1VFlu9W8o,0.778,0.0237,0.462,0.958,-6.528,122.98,256.453
0JEqGkvUiMTQmFY6sgL9kg,0.6005,0.03,6.47e-06,0.158,-5.419,89.969,253.813
6zo52JP3T62BJWN1Fd802D,0.39849999999999997,0.665,0.000471,0.0886,-9.197,133.051,364.8
6LGwYMXXgURfaequXipzHx,0.463,0.589,0.00451,0.25,-8.264,167.271,366.733
29cup7R0CQiUB1lj4Laq72,0.6910000000000001,0.155,0.000291,0.759,-7.69,124.561,237.627
6d9rNfRFOQ0XmsUwJ8C5J0,0.5955,0.503,8.55e-05,0.715,-7.645,98.324,163.16
0cITLOYn1Sv4q27zZPqlNK,0.749,0.0773,8.87e-05,0.641,-4.267,124.978,220.827
0fuP0ykgrDSxk5odNU7Gy2,0.7010000000000001,0.00248,0.000986,0.649,-6.558,104.007,231.867
7AEAGTc8cReDqcbPoY9gwo,0.652,0.00957,2.65e-05,0.75,-5.911,85.984,191.88
4GzDUKkd1RwAtYZMMUBM3W,0.5365,0.00532,2.84e-06,0.649,-6.794,154.182,222.733
5fdhThPDe6jQQDqCyWrdAn,0.6055,0.566,0.0,0.809,-10.971,110.578,161.533
0qup7d7G2WffwARHKrqT2x,0.7665,0.127,0.000259,0.522,-4.452,110.963,323.467
23A4WepE6mwaOXFyxWhQpk,0.6795,0.12,0.00272,0.914,-7.186,133.897,235.427
1jyddn36UN4tVsJGtaJfem,0.6525,0.0304,1.99e-05,0.885,-4.872,170.593,231.84
5EaaGNkpMqAd2Zs4Knq3sH,0.372,0.343,0.00019,0.493,-12.743,174.5,241.88
3y8rEUEUdmAcPCpPoLotnO,0.749,0.0675,0.0,0.817,-5.648,151.961,280.093
0ZhSQIDIv0CWVc0Vt1aiBm,0.681,0.0419,1.17e-06,0.819,-4.348,165.324,288.507
2skmOCFU64Bg7Ytkgwliwe,0.6935,0.0316,2.27e-05,0.641,-6.495,137.047,218.707
6mowJOVCvHAfAR5gqMBd2Z,0.7050000000000001,0.0471,0.00336,0.657,-5.314,97.923,261.493
3i3GeK0qLQybu4ah42YmCY,0.768,0.159,4.34e-05,0.96,-3.877,115.953,295.987
2PKKDPjAEMs99DuYcQ9n1n,0.761,0.0729,0.000301,0.719,-3.232,119.769,254.467
5rhbzNFh4GhSMEobWwZmEt,0.69,0.133,0.0,0.788,-4.851,168.159,274.24
2NDti8N0UCATsq3vlzeU0l,0.694,0.0561,0.000857,0.974,-12.039,125.91,219.093
3vmOEg3JBiNxaz0mHxPSPC,0.6095,0.0338,3.83e-06,0.584,-8.152,103.968,256.093
2EVMlbOZkfU5htC0C3BUGa,0.72,0.0639,5.57e-06,0.641,-4.992,114.996,284.0
4oGhmx44KuEslzELC1Qogw,0.7795000000000001,0.0486,0.00157,0.945,-4.456,144.332,207.76
4lyR7lDZP5uyaWQkRPUuB4,0.5115000000000001,0.34,0.0,0.251,-11.408,128.051,241.947
5zQDs1xpE9LieHkGFEOsT7,0.6925,0.0691,3.23e-05,0.772,-10.741,133.224,274.453
0z4IOsRzDJCtOSuEBGQ3Lp,0.5489999999999999,0.229,0.000793,0.298,-10.235,132.215,253.813
74EqvKNZ0CAYfNVU3nYJlp,0.3995,0.53,0.0,0.0635,-14.203,62.185,248.253
4ncL7OC41ZYuA5eyWvS5Rj,0.6435,0.121,3.18e-05,0.723,-8.68,106.037,262.32
49RUdNvwSiUTC8fBh4KKoC,0.3855,0.703,7.66e-06,0.338,-12.699,135.384,212.667
5vDybLvL75lAj2JGh9jS18,0.4535,0.838,9.04e-06,0.543,-14.956,99.96,201.707
10IjsMtp26Om76fzdCZ5me,0.5625,0.624,0.000233,0.375,-9.13,137.445,222.027
4tY01qYozc6db4gihAiIl8,0.6255,0.137,0.000479,0.252,-10.241,126.356,199.8
3lgVZfcE2ajm6AfRXGzs74,0.7030000000000001,0.326,0.0,0.655,-7.233,127.566,245.093
4OzQg5IcAkBxQV6Awq2T0y,0.778,0.194,0.0,0.961,-5.905,125.005,267.2
6k4H1nmv3k9Oy7HmG7XadO,0.755,0.0386,0.0,0.956,-4.513,124.004,269.467
57Y3UccJEJqT8w8RWkUAz0,0.8955,0.079,0.0101,0.89,-5.107,107.955,244.827
2yHyxAYmOAglwZP2vIsOuB,0.8195,0.13,0.0,0.788,-3.898,121.046,255.4
4h3cnCK9KnbrTfhQoTkuEj,0.858,0.497,0.00488,0.774,-3.288,95.883,231.173
3DYVWvPh3kGwPasp7yjahc,0.815,0.0127,0.0683,0.946,-6.366,97.01,189.787
4eLQPgkIwZI6OlllntlLdF,0.7210000000000001,0.00444,3.54e-05,0.829,-9.097,93.773,211.533
0AWpG6NUEaRZvS3eMvXkBg,0.7315,0.000214,0.143,0.688,-7.675,95.624,228.493
0vLwL4xuJ3s7SeaCdvMqkY,0.5895,0.0336,0.000194,0.777,-13.799,142.167,212.893
5XJ1J9QPxaOzdpkGxKU4lA,0.6475,0.0078,0.0233,0.657,-7.793,115.007,350.24
4peeKrE2StP6D2NuWAUEHK,0.4795,0.454,0.0,0.522,-12.9,89.611,201.28
7xUVverKyPPPAW3sDqXhfi,0.6355,0.43,0.0,0.781,-7.569,168.152,279.4
68K0qD0VDqdm0eWXsGqnvM,0.5365,0.307,0.00115,0.779,-8.769,169.938,251.253
3XorCFmcupSm5QS6hA9g4N,0.7495,0.0077,1.64e-06,0.615,-6.44,106.101,232.067
