track_ids,danergy,acousticness,instrumentalness,valence,loudness,tempo,duration_secs
6vaSStNN5NX4nJ4QbRY3S0,0.5415000000000001,0.0946,1.58e-05,0.56,-6.542999999999999,180.00799999999998,246.587
5YQV81brQo3KZbszwGSKC8,0.2745,0.9890000000000001,0.8740000000000001,0.0816,-20.805999999999997,86.82,338.2
6I7GNd3UW45TAxG49R4HtX,0.5665,0.34700000000000003,3.98e-06,0.418,-10.191,129.942,267.292
2K8elWg8ihrZRwZJ7Gy6L3,0.4265,0.953,0.0,0.29600000000000004,-8.904,82.035,225.868
018eOid2aGaPdxon7T6GsC,0.47150000000000003,0.789,1.79e-06,0.348,-7.144,136.088,247.941
3aAQXLUQUBXXmKBv794RWX,0.272,0.9129999999999999,0.8809999999999999,0.303,-20.693,115.04299999999999,149.506
7jvk8xmmSANi6qpKoLXtQG,0.523,0.265,2.09e-06,0.113,-9.92,124.001,229.408
2B2Y1qGComLKdsHLktgCbV,0.6955,0.21600000000000003,0.0,0.461,-5.232,150.037,304.924
0Tm5ER6IrGfmW0yZ5lkQli,0.6855,0.281,0.0029,0.588,-8.192,176.889,281.44
2NAbfM5mIpZ3Y2u9mbX4K5,0.214,0.96,0.9079999999999999,0.0722,-18.533,100.29700000000001,339.373
6SMB09r7bauATCrbeMstCn,0.37549999999999994,0.521,0.94,0.205,-12.784,83.294,313.287
1RqLFgxfbaIfNpbl6sIh2I,0.4905,0.266,0.89,0.21600000000000003,-11.472999999999999,90.25200000000001,305.997
4iIdxNs1MoAdGYVkMahAsX,0.48250000000000004,0.682,0.00086,0.6859999999999999,-13.754000000000001,141.297,190.633
5yuzt5Ib1KhOCxBLKhaeol,0.4265,0.77,0.11199999999999999,0.15,-10.277000000000001,149.97799999999998,254.4
2crYmNnBoH5nmau061EUR9,0.4395,0.544,0.816,0.545,-20.004,163.935,2196.867
2ZAAeTb9zChpusXVPWXNTP,0.5109999999999999,0.643,0.284,0.474,-18.104,155.714,2139.467
1brYo3VrdQD8eXrBChRI4L,0.5335,0.523,0.0,0.5710000000000001,-5.78,194.888,243.079
4nMWgIa0SviNKO1g2Qx0SY,0.558,0.698,1.4300000000000002e-05,0.49700000000000005,-7.99,78.857,192.0
4LCNHHhUJB0rqvmlxwstmN,0.729,0.237,0.0,0.8290000000000001,-6.861000000000001,104.23200000000001,201.0
1cWIlxMCLPxsINCSVPgcej,0.3165,0.91,0.0188,0.361,-15.005999999999998,100.087,293.25
2NSmFeNEqnVdOp8PPZ4lHt,0.5900000000000001,0.47600000000000003,0.0,0.8540000000000001,-6.055,169.99900000000002,292.827
0TdhmE7WWrZ41kmRJn5Wmj,0.6034999999999999,0.871,1.28e-06,0.674,-5.492000000000001,124.905,306.08
2Roz8IjTxrseaCLprFb7IU,0.30800000000000005,0.88,0.00432,0.335,-17.145,145.06799999999998,396.413
7BCaSuwzYyaXuO8cyEUaiT,0.3865,0.802,0.000718,0.159,-6.519,96.29700000000001,302.962
1MBUN0qRBj4D9i82y1GsNk,0.5805,0.35700000000000004,1.11e-05,0.33899999999999997,-10.520999999999999,146.955,288.667
32R7r1j2r13XwF62fT8sNt,0.658,0.5920000000000001,4.8100000000000004e-05,0.762,-4.624,170.00599999999997,326.495
0Z33BpBKMhgFbnWvzZ4zHa,0.7905,0.20199999999999999,0.0681,0.445,-4.39,105.03,213.3
3GiJBHaArzweXqfH2BUdrt,0.7225,0.6809999999999999,4.3e-05,0.9359999999999999,-7.3839999999999995,130.049,183.069
04jVEb76Kw5OrmGtlXlHxI,0.5105000000000001,0.322,0.0,0.528,-11.18,76.851,255.947
6IMQmfTtNuLg1PcuKI8a05,0.6215,0.938,0.9079999999999999,0.19399999999999998,-17.772000000000002,99.579,639.293
6Ciwkk1zhd6MroaTrgWcyd,0.281,0.88,0.7979999999999999,0.474,-28.511,104.64200000000001,4055.627
0VcgxM45eyNnEpRhLKaUjV,0.5765,0.691,0.00121,0.6970000000000001,-11.334000000000001,120.014,327.123
2tjWCe2W7sgvS3C8NHcdtI,0.5465,0.6990000000000001,0.0,0.524,-5.949,77.17,222.501
2by8FVjoggo96ntJFHusVw,0.8355000000000001,0.513,0.0,0.7929999999999999,-3.367,102.022,209.567
2wUVruRVNrmPkwY8BkL9PW,0.621,0.573,0.8140000000000001,0.7240000000000001,-15.562999999999999,140.62,229.4
38AjdupmKGeXKqmoZcMTEX,0.5635,0.609,0.8270000000000001,0.802,-16.335,92.944,1727.827
1jYnuDUosk8KSfQc4OielX,0.5710000000000001,0.0418,0.8220000000000001,0.698,-6.779,174.093,512.169
1IRRqn75jaZHp7zMT1NGbZ,0.14900000000000002,0.97,0.0284,0.04,-12.595999999999998,85.391,496.88
1MmfWw41UAkFUhvCZw0p09,0.2985,0.961,0.00942,0.13699999999999998,-13.556,100.90299999999999,225.373
3wU4ZxBCclllaU991Z2uyu,0.45199999999999996,0.74,0.00218,0.172,-13.091,113.045,232.573
201a7QRq2P5Edi2cAv68hJ,0.6585,0.10099999999999999,0.0,0.72,-6.784,96.97399999999999,258.013
6SaeHNoR3pf1o82kuesuEc,0.45749999999999996,0.858,0.555,0.348,-10.157,120.541,862.32
0mvWjD43rig1wV7rwAhetS,0.5695,0.78,0.0,0.588,-8.325,114.964,388.005
4eA4i2Uf0DDIkpyesj98Ag,0.5365,0.6409999999999999,0.107,0.149,-10.126,99.06700000000001,353.12
5cw259ZDliQcBsmuFQN4Vp,0.708,0.166,0.00131,0.745,-7.433,138.005,345.576
7E0ONrXDd5c6cAXt4aDt0U,0.75,0.0364,1.83e-05,0.688,-6.155,99.005,222.299
11e0KIuKNNgpPfgfPR3rHL,0.5335,0.507,0.0,0.581,-5.773,194.858,243.078
6jtXa8GxUBRarbvvYeZPBD,0.698,0.201,0.0,0.7290000000000001,-5.28,129.969,282.211
4HmwhZc2d1sqPLnPZmcrXT,0.4985,0.267,2.32e-06,0.35200000000000004,-9.793,83.932,354.286
